Frequency,Chinese,Pinyin,English,Length
363,墙倒众人推,qiáng dǎo zhòngrén tuī,Push everyone down the wall,5
364,莫须有,mòxūyǒu,Groundless,3
365,拿鸡毛当令箭,ná jīmáo dāng lìngjiàn,Take a feather when the authority arrow,6
366,捅破窗户纸,tǒng pò chuānghù zhǐ,Pierce the windows of paper,5
367,三字经,sānzìjīng,Three Character Classic,3
368,苍蝇不叮无缝的蛋,cāngyíng bù dīng wú fèng de dàn,Flies do not hover eggs,8
369,大跌眼镜,dà diēyǎnjìng,Surprise,4
370,说一千，道一万,"shuō yīqiān, dào yī wàn","He says a thousand, ten thousand channel",7
371,绊脚石,bàn jiǎo shí,stumbling block,3
372,过五关、斩六将,"guò wǔ guān, zhǎn liù jiàng","A five-off, killing six",7
373,求爷爷、告奶奶,"qiú yéyé, gào nǎinai","Seeking grandfather, grandmother reported",7
374,羡慕嫉妒恨,xiànmù jídù hèn,"envy, jealousy, hate",5
375,打掉门牙往肚里咽,dǎ diào ményá wǎng dù lǐ yàn,Knocked out front teeth pharynx to the stomach,8
376,唱对台戏,chàngduìtáixì,Rival,4
377,分一杯羹,fēn yībēi gēng,A share,4
378,变色龙,biànsèlóng,chameleon,3
379,独木不成林,dú mù bùchéng lín,One tree does not make a forest,5
380,既生瑜，何生亮？,"jì shēng yú, héshēngliàng?","Both Sheng Yu, Sheng-liang?",8
381,撂挑子,Liàotiāozi,Refuse to work,3
382,敲门砖,qiāoménzhuān,Stepping stone,3
383,试金石,shìjīnshí,Touchstone,3
384,火烧眉毛,huǒ shāo méimáo,Feel the burn,4
385,空手套白狼,kōng shǒutào bái láng,Sleight of hand tricks,5
386,一瓶子不满，半瓶子晃荡,"yī píngzi bùmǎn, bàn píngzi huàngdang","A bottle discontent, half bottle sloshing",11
387,脱了裤子放屁,tuōle kùzi fàngpì,Tuoliaokuzi fart,6
388,借东风,jiè dōngfēng,By the wind,3
389,白开水,báikāishuǐ,Plain boiled water,3
390,鲤鱼跳龙门,lǐyú tiào lóngmén,Carp leaping,5
391,强龙压不住地头蛇,qiáng lóng yā bù zhù dìtóushé,Strong dragon snakes hid,8
392,这山望着那山高,zhè shān wàngzhe nà shāngāo,This mountain that looks high,7
393,光脚的不怕穿鞋的,guāng jiǎo de bùpà chuān xié de,Barefoot shoes are not afraid,8
394,不成功，便成仁,"bùchénggōng, biàn chéngrén",Boom or bust,7
395,滚刀肉,gǔn dāo ròu,Hob meat,3
396,久病成良医,jiǔ bìng chéngliáng yī,Chronic illness into a good doctor,5
397,枕边风,zhěn biān fēng,Pillow talk,3
398,一锤子买卖,yī chuízi mǎimài,Deal or No Deal,5
399,横挑鼻子竖挑眼,héng tiāo bízi shù tiāoyǎn,Pick nose horizontal vertical hypercritical,7
400,唱空城计,chàng kōngchéngjì,Sing empty city,4
401,一刀切,yīdāoqiē,One size fits all,3
402,旧瓶装新酒,jiù píngzhuāng xīnjiǔ,Old wine in new bottles,5
403,两面三刀,liǎngmiànsāndāo,Double-dealing,4
404,一把钥匙开一把锁,yī bǎ yàoshi kāi yī bǎ suǒ,A key to open a lock,8
405,打一巴掌，给个甜枣,"dǎ yī bāzhang, gěi gè tián zǎo","Hit a slap in the face, give sweet dates",9
406,先君子后小人,xiān jūnzǐ hòu xiǎo rén,After the first gentleman villain,6
407,尺有所短，寸有所长,"chǐ yǒu suǒ duǎn, cùn yǒu suǒ cháng",Everyone has his strong and weak points,9
408,出来混的，总要还的,"chū lái hùn de, zǒng yào huán de","Out to mix, always have to repay",9
409,画虎不成反类犬,huà hǔ bù chéng fǎn lèi quǎn,Poor imitation like a dog,7
410,大意失荆州,dàyì shī jīngzhōu,Lost Jingzhou,5
411,卸磨杀驴,xiè mò shā lǘ,Unloading grinding donkey,4
412,躺着都中枪,tǎngzhe dōu zhōng qiāng,They are lying in the gun,5
413,脚正不怕鞋歪,jiǎo zhèng bùpà xié wāi,Crooked foot is not afraid of shoes,6
414,有奶就是娘,yǒu nǎi jiùshì niáng,There is the mother milk,5
415,肉烂在锅里,ròu làn zài guō lǐ,Rotten meat in the pot,5
416,说你胖你就喘,shuō nǐ pàng nǐ jiù chuǎn,You say you're fat asthma,6
417,擦屁股,cā pìgu,Wipe,3
418,皇帝女儿不愁嫁,huángdì nǚ'ér bù chóu jià,Emperor daughter mentality,7
419,一朝天子一朝臣,yī zhāo tiānzǐ yī zhāo chén,Own courtiers,7
420,活人让尿憋死,huó rén ràng niào biē sǐ,Let the living suffocated in urine,6
421,走马灯,zǒumǎdēng,Revolving door,3
422,花无百日红,huā wú bǎi rì hóng,Flowers last forever,5
423,东风压倒西风,dōngfēng yādǎo xīfēng,East Eats West,6
424,岁月是把杀猪刀,suìyuè shì bǎ shā zhū dāo,Years is the Sha Zhudao,7
425,丁是丁，卯是卯,"dīng shì dīng, mǎo shì mǎo","Ding Ding, d is the d",7
426,多年的媳妇熬成婆,duōnián de xífù áo chéng pó,Years his wife boiled woman,8
427,强将手下无弱兵,qiáng jiàng shǒuxià wú ruò bīng,No weak soldiers forcing men,7
428,头痛医头，脚痛医脚,"tóutòng yītóu, jiǎo tòng yī jiǎo",Stop-gap measures,9
429,拉不出屎来怨茅房,lā bù chū shǐ lái yuàn máofáng,Pull no feces to blame latrine,8
430,东方不亮西方亮,dōngfāng bù liàng xīfāng liàng,East does not shine bright,7
431,老牛拉破车,lǎo niú lā pò chē,Buffaloes pulling broken car,5
432,放卫星,fàng wèixīng,Put satellites,3
433,鸡同鸭讲,jī tóng yā jiǎng,Chicken and Duck Talk,4
434,一锅端,yīguōduān,Side pot,3
435,老皇历,lǎohuángli,Old almanac,3
436,家花没有野花香,jiā huā méiyǒu yě huāxiāng,Home to spend no wild flowers,7
437,又想当婊子又想立牌坊,yòu xiǎng dāng biǎo zi yòu xiǎng lì páifāng,Wanting to bitch want Paifang,10
438,遮羞布,zhēxiūbù,Fig leaf,3
439,耍花枪,shuǎ huāqiāng,Shua Huaqiang,3
440,又要马儿跑，又要马儿不吃草,"yòu yào mǎ er pǎo, yòu yào mǎ er bu chī cǎo","But also horse race, but also horse can not eat",13
441,牛不喝水强按头,niú bù hē shuǐ qiáng àn tóu,Cattle do not drink strong according to head,7
442,摆乌龙,bǎi wū lóng,Blunder,3
443,各打五十大板,gè dǎ wǔshí dà bǎn,Each six blows,6
444,一个将军一个令,yīgè jiāngjūn yīgè lìng,A way to make a general,7
445,抱大腿,bào dàtuǐ,Hold the thigh,3
446,砸了锅,zále guō,Smashed pot,3
447,会哭的孩子有奶吃,huì kū de háizi yǒu nǎi chī,Cry of the child Naichi,8
448,二一添作五,èryī tiān zuò wǔ,Twenty-one five for Tim,5
449,风一阵，雨一阵,"fēng yīzhèn, yǔ yīzhèn","A burst of wind, rain burst",7
450,剃头挑子一头热,tìtóu tiāozi yī tóu rè,A hot sided affair,7
451,远来的和尚会念经,yuǎn lái de héshàng huì niànjīng,Far to the monks chanting,8
452,揪辫子,jiū biànzi,Pulling pigtails,3
453,小姐的身子丫鬟的命,xiǎojiě de shēnzi yāhuan de mìng,Miss maidservants body's life,9
454,只见树木，不见森林,"zhǐ jiàn shùmù, bùjiàn sēnlín",See the trees but not the forest,9
455,屁股决定脑袋,pìgu juédìng nǎodai,We decided to head butt,6
456,兔子尾巴长不了,tùzǐ wěibā cháng bùliǎo,Rabbit's tail can't grow,7
457,骑马找马,qímǎ zhǎo mǎ,Look for a horse riding,4
458,敲锣边儿,qiāo luó biān er,Knock on the side,4
459,扣帽子,kòu màozi,Putting labels,3
460,拔出萝卜带出泥,bá chū luóbo dài chū ní,Pull out the carrot out of the mud,7
461,满嘴跑火车,mǎnzuǐ pǎo huǒchē,Mouth running train,5
462,温水煮青蛙,wēnshuǐ zhǔ qīngwā,Warm boiled frog,5
463,万金油,wànjīnyóu,Jack of all trades,3
464,树挪死，人挪活,"shù nuó sǐ, rén nuó huó","Move trees die, people move to live",7
465,按下葫芦起了瓢,àn xià húlu qǐle piáo,Press played a gourd dipper,7
466,到什么山唱什么歌,dào shénme shān chàng shénme gē,"To what mountain, what songs",8
467,拔根汗毛比腰粗,bá gēn hànmáo bǐ yāo cū,Uproot hairs than large waist,7
468,阎王好见，小鬼难搪,"yánwáng hǎo jiàn, xiǎoguǐ nán táng","Hades good to see, hard to keep out the devil",9
469,不见兔子不撒鹰,bùjiàn tùzǐ bù sā yīng,Not rabbits not spread eagle,7
470,当面锣，对面鼓,"dāngmiàn luó, duìmiàn gǔ","Face to face gongs, drums across",7
471,眼大肚子小,yǎn dàdùzi xiǎo,Eyes belly small,5
472,浅水养不了大鱼,qiǎnshuǐ yǎng bùliǎo dà yú,We can not keep fish in shallow water,7
473,吃别人嚼过的馍不香,chī biérén juéguò de mó bù xiāng,Eat others chew over the bun is not fragrant,9
474,起大早，赶晚集,"qǐ dà zǎo, gǎn wǎn jí","We got up early, catch late set",7
475,打不着狐狸惹身骚,dǎ bùzháo húlí rě shēn sāo,Fox could not beat Sao provoke body,8
476,多面手,duōmiànshǒu,All-rounder,3
477,鸟枪换炮,niǎoqiānghuànpào,Shotgun,4
478,矬子里拔将军,cuózi lǐ bá jiāngjūn,Cuozi pull generals,6
479,给个棒槌就当针,gěi gè bàngchuí jiù dāng zhēn,When the needle on to a wooden club,7
480,捧臭脚,pěng chòu jiǎo,Holding smelly feet,3
481,咬人的狗不露齿,yǎo rén de gǒu bù lù chǐ,Dog bite grin,7
482,炒冷饭,chǎolěngfàn,Same old stuff,3
483,一只羊是赶，一群羊也是放,"yī zhǐ yáng shì gǎn, yīqún yáng yěshì fàng","Is to catch a sheep, a flock of sheep is put",12
484,虱子多了不咬，账多了不愁,"shīzi duō liǎo bù yǎo, zhàng duō liǎo bù chóu","Lice do not bite, much to worry about account",12
485,攒鸡毛，凑掸子,"zǎn jīmáo, còu dǎnzi","Save feather, duster Minato",7
486,骑脖子拉屎,qí bózi lā shǐ,Riding neck shit,5
487,指着和尚骂秃子,zhǐzhe héshàng mà tūzi,Pointing to the monk scolded Baldy,7
488,蚂蚱也是肉,mà zhà yěshì ròu,Grasshopper is meat,5
489,背着抱着一般沉,bèizhe bàozhe yībān chén,Carrying a holding general Shen,7
490,一言堂,yīyántáng,Lays down the law,3
491,乱拳打死老师傅,luàn quán dǎ sǐ lǎo shīfù,Chaos boxing killed old master,7
492,端起碗来吃肉，放下筷子骂娘,"duān qǐ wǎn lái chī ròu, fàngxià kuàizi màniáng","Picking to eat meat, put down the chopsticks BS-ing",13
493,出头的椽子先烂,chū tóu de chuánzi xiān làn,Somethings rotten rafters first,7
494,一马勺坏一锅,yī mǎ sháo huài yī guō,A ladle bad pot,6
495,终日打雁，让雁啄了眼,"zhōngrì dǎ yàn, ràng yàn zhuóle yǎn","Batangas day, let geese peck at his eyes",10
496,老鸹嫌猪黑,lǎoguā xián zhū hēi,Laogua too black pig,5
497,别人牵驴你拔橛,biérén qiān lǘ nǐ bá jué,Others you pull the donkey chunks,7
498,仔卖爷田不心疼,zǐ mài yé tián bù xīnténg,Aberdeen do not feel bad selling Ye Tian,7
499,萝卜快了不洗泥,luóbo kuài liǎo bù xǐ ní,Do not wash mud radish fast,7
500,接地气,jiēdì qì,Down to earth,3
