Chengyu,Frequency,Chinese,Pinyin,English
TRUE,461,意气风发,yìqìfēngfā,High-spirited
TRUE,462,双管齐下,shuāngguǎnqíxià,Two-pronged
TRUE,463,含辛茹苦,hánxīnrúkǔ,Parenting deserves appreciation
TRUE,464,立竿见影,lìgānjiànyǐng,Get instant results
TRUE,465,冲锋陷阵,chōngfēngxiànzhèn,Strikes
TRUE,466,水到渠成,shuǐdàoqúchéng,Matter of course
TRUE,467,危言耸听,wēiyánsǒngtīng,Alarmist
TRUE,468,何去何从,héqùhécóng,Go from here
TRUE,469,有求必应,yǒuqiúbìyìng,Responsive
TRUE,470,杯弓蛇影,bēigōngshéyǐng,extremely suspicious
TRUE,471,风平浪静,fēngpínglàngjìng,Calm
TRUE,472,逍遥法外,xiāoyáofǎwài,Impunity
TRUE,473,灯红酒绿,dēng hóngjiǔ lǜ,Debauchery
TRUE,474,顶天立地,dǐngtiānlìdì,Indomitable spirit
TRUE,475,有鉴于此,yǒu jiànyú cǐ,In view of this
TRUE,476,义愤填膺,yìfèntiányīng,Indignation
TRUE,477,不可告人,bùkě gào rén,hidden
TRUE,478,指手画脚,zhǐshǒuhuàjiǎo,Gesticulate
TRUE,479,简明扼要,jiǎnmíng èyào,Concisely
TRUE,480,螳螂捕蝉，黄雀在后,"tángláng bǔ chán, huáng què zài hòu","Mantis stalks the cicada, oriole in the post"
TRUE,481,一举两得,yījǔliǎngdé,Do both
TRUE,482,置之度外,zhìzhīdùwài,disregard
TRUE,483,永垂不朽,yǒngchuíbùxiǔ,Immortal
TRUE,484,美中不足,měizhōngbùzú,a fly in the ointment
TRUE,485,人声鼎沸,rén shēng dǐngfèi,Voices
TRUE,486,天真烂漫,tiānzhēn lànmàn,Naivety
TRUE,487,就事论事,jiùshìlùnshì,The sake of discussion
TRUE,488,大手大脚,dàshǒudàjiǎo,Wasteful
TRUE,489,漫山遍野,mànshānbiànyě,Mountains and plains
TRUE,490,刻舟求剑,kèzhōuqiújiàn,Disregard the changing circumstances
TRUE,491,生龙活虎,shēnglónghuóhǔ,Staying Alive
TRUE,492,不甘示弱,bùgān shìruò,Not to be outdone
TRUE,493,循循善诱,xúnxúnshànyòu,Motherhood
TRUE,494,万家灯火,wàn jiā dēnghuǒ,Lighted
TRUE,495,执迷不悟,zhímíbùwù,Unrepentant
TRUE,496,千疮百孔,qiān chuāng bǎi kǒng,Full of holes
TRUE,497,悬崖勒马,xuányálèmǎ,The precipice
TRUE,498,半斤八两,bànjīnbāliǎng,Private Eyes
TRUE,499,共襄盛举,gòng xiāng shèngjǔ,Gongxiangshengju
TRUE,500,五十步笑百步,wǔshí bù xiào bǎi bù,Kettle black
TRUE,,爱不释手,Àibùshìshǒu,Fondle admiringly
TRUE,,爱屋及乌,àiwūjíwū,To love someone means to love everything about them
TRUE,,按部就班,ànbùjiùbān,Step by step
TRUE,,百年树人,bǎinián shù rén,Talent comes from hard work
TRUE,,百折不挠,bǎizhébùnáo,indomitable
TRUE,,半途而废,bàntú'érfèi,give up halfway
TRUE,,包罗万象,bāoluówànxiàng,All-inclusive
TRUE,,闭门造车,bìménzàochē,Work behind closed doors
TRUE,,标新立异,biāoxīnlìyì,Maverick
TRUE,,宾至如归,bīnzhìrúguī,Home from home
TRUE,,不耻下问,bùchǐxiàwèn,Help in the field
TRUE,,不攻自破,bù gōng zì pò,Scotched
TRUE,,不可救药,bùkě jiù yào,hopeless
TRUE,,不劳而获,bùláo'érhuò,Reap without sowing
TRUE,,不务正业,bùwùzhèngyè,Worthless
TRUE,,不省人事,bù xǐng rénshì,Unconscious
TRUE,,不翼而飞,bù yì ér fēi,Spread like wildfire
TRUE,,不自量力,bù zì liànglì,Overconfident
TRUE,,长年累月,chángniánlěiyuè,Over many years
TRUE,,趁火打劫,chènhuǒdǎjié,Loot a burning house
TRUE,,重蹈覆辙,chóngdǎofùzhé,Repeat
TRUE,,愁眉不展,chóuméi bù zhǎn,With a worried frown
TRUE,,出类拔萃,chūlèibácuì,Outstanding
TRUE,,吹毛求疵,chuīmáoqiúcī,Carp
TRUE,,垂涎三尺,chuíxián sān chǐ,mouth watering
TRUE,,从容不迫,cóngróngbùpò,Calm
TRUE,,从善如流,cóngshànrúliú,Good advice
TRUE,,措手不及,cuòshǒubùjí,By surprise
TRUE,,打草惊蛇,dǎcǎojīngshé,Arouse his suspicions
TRUE,,大公无私,dàgōngwúsī,Just and fair
TRUE,,大言不惭,dàyánbùcán,Overreaching
TRUE,,当机立断,dāngjīlìduàn,make a prompt decision
TRUE,,道听途说,dàotīngtúshuō,hearsay
TRUE,,得寸进尺,décùnjìnchǐ,Insatiable
TRUE,,得过且过,déguòqiěguò,muddle along
TRUE,,得意忘形,déyìwàngxíng,Get carried away
TRUE,,耳濡目染,ěrrúmùrǎn,Monasteries
TRUE,,废寝忘食,fèiqǐnwàngshí,Sleepless nights
TRUE,,风驰电掣,fēngchídiànchè,Driving fast
TRUE,,奉公守法,fènggōngshǒufǎ,Law-abiding
TRUE,,凤毛麟角,fèngmáolínjiǎo,Rare
TRUE,,敷衍塞责,fūyǎn sèzé,Perfunctory
TRUE,,改过自新,gǎiguò zì xīn,Rehabilitation
TRUE,,高枕无忧,gāo zhěn wú yōu,sit back and relax
TRUE,,隔岸观火,gé'ànguānhuǒ,Standing on the sidelines
TRUE,,各有千秋,gèyǒuqiānqiū,Each has its advantages
TRUE,,功亏一篑,gōngkuīyīkuì,Fall short
TRUE,,勾心斗角,gōuxīndòujiǎo,Intrigue
TRUE,,苟且偷安,gǒuqiě tōu'ān,Perfunctory
TRUE,,孤陋寡闻,gūlòuguǎwén,Ignorant
TRUE,,孤掌难鸣,gūzhǎngnánmíng,Takes two to tango
TRUE,,孤注一掷,gūzhùyīzhì,put all one's eggs in one basket
TRUE,,沽名钓誉,gūmíngdiàoyù,Reclame
TRUE,,拐弯抹角,guǎiwānmòjiǎo,Roundabout
TRUE,,光明正大,guāngmíngzhèngdà,Fair and square
TRUE,,海底捞针,hǎidǐ lāo zhēn,Haidilaozhen
TRUE,,好高骛远,hàogāowùyuǎn,Ambitious
TRUE,,好逸恶劳,hàoyìwùláo,Indolent
TRUE,,和睦共处,hémù gòngchǔ,Together in harmony
TRUE,,胡思乱想,húsīluànxiǎng,have a bee in one's bonnet
TRUE,,胡作非为,húzuòfēiwéi,Misbehave
TRUE,,花言巧语,huāyánqiǎoyǔ,rhetoric
TRUE,,挥金如土,huījīnrútǔ,Big spenders
TRUE,,混水摸鱼,húnshuǐmōyú,Troubled Waters
TRUE,,鸡犬不宁,jīquǎnbùníng,Cat among the pigeons
TRUE,,假公济私,jiǎgōngjìsī,Practice jobbery
TRUE,,见利忘义,jiàn lì wàng yì,Unscrupulous
TRUE,,见异思迁,jiànyìsīqiān,Inconstant
TRUE,,捷足先登,jiézúxiāndēng,Gain an advantage
TRUE,,进退两难,jìntuìliǎngnán,dilemma
TRUE,,进退维谷,jìntuìwéigǔ,Dilemma
TRUE,,鞠躬尽瘁,jūgōngjìncuì,Jugongjincui
TRUE,,开源节流,kāiyuánjiéliú,Cut costs
TRUE,,慷慨解囊,kāngkǎi jiěnáng,Generosity
TRUE,,刻苦耐劳,kèkǔ nàiláo,Hard work
TRUE,,口是心非,kǒushìxīnfēi,Duplicity
TRUE,,老马识途,lǎo mǎshítú,Your experience allowed you to succeed
TRUE,,励精图治,lìjīngtúzhì,Good governance
TRUE,,临渴掘井,lín kě jué jǐng,Hasty
TRUE,,流离失所,liúlíshīsuǒ,Displaced
TRUE,,路不拾遗,lùbùshíyí,Lubushiyi
TRUE,,落花流水,luòhuāliúshuǐ,Trounced
TRUE,,满载而归,mǎnzài'érguī,Rewarding experience
TRUE,,慢条斯理,màntiáosīlǐ,Slowly
TRUE,,每况愈下,měikuàngyùxià,Bad to worse
TRUE,,每下愈况,měi xià yù kuàng,Bad to worse
TRUE,,面目全非,miànmù quán fēi,Beyond recognition
TRUE,,明哲保身,míngzhébǎoshēn,Play it safe
TRUE,,明知故犯,míngzhīgùfàn,Knowingly
TRUE,,墨守成规,mòshǒuchéngguī,Hidebound
TRUE,,目中无人,mùzhōngwúrén,Defiant
TRUE,,弄巧反拙,nòng qiǎo fǎn zhuō,Backfire
TRUE,,普天同庆,pǔtiāntóngqìng,Celebrate
TRUE,,千钧一发,qiānjūnyīfà,Close call
TRUE,,千篇一律,qiānpiānyīlǜ,Stereotyped
TRUE,,前车之鉴,qiánchēzhījiàn,Warning
TRUE,,强词夺理,qiǎngcíduólǐ,Chicanery
TRUE,,青出于蓝,qīngchūyúlán,Shine On
TRUE,,倾家荡产,qīngjiādàngchǎn,Bankrupt
TRUE,,情同手足,qíngtóngshǒuzú,Brothers
TRUE,,人浮于事,rénfúyúshì,Overstaffing
TRUE,,人云亦云,rényúnyìyún,Parrot
TRUE,,任劳任怨,rènláorènyuàn,hard working
TRUE,,荣华富贵,rónghuá fùguì,Great wealth
TRUE,,富贵荣华,fùguì rónghuá,luxurious
TRUE,,如释重负,rúshìzhòngfù,Relief
TRUE,,三思而行,sānsī ér xíng,Think twice
TRUE,,僧多粥少,sēngduōzhōushǎo,Demand exceeds supply
TRUE,,杀鸡取卵,shājīqǔluǎn,Banded
TRUE,,舍己为人,shějǐwéirén,altruism
TRUE,,事倍功半,shìbèigōngbàn,Less effective
TRUE,,视死如归,shìsǐrúguī,Unafraid of death
TRUE,,手不释卷,shǒubùshìjuàn,Shoubushijuan
TRUE,,守口如瓶,shǒukǒurúpíng,Tight-lipped
TRUE,,守望相助,shǒuwàngxiāngzhù,Neighborhood watch
TRUE,,熟能生巧,shúnéngshēngqiǎo,Practice makes perfect
TRUE,,顺手牵羊,shùnshǒuqiānyáng,Pilfering
TRUE,,似是而非,sìshì'érfēi,Specious
TRUE,,随遇而安,suíyù'ér'ān,Go with the flow
TRUE,,口若悬河,kǒuruòxuánhé,Eloquent
TRUE,,挑拨离间,tiǎobō líjiàn,Sow discord
TRUE,,铤而走险,dìng'érzǒuxiǎn,Take risks
TRUE,,同归于尽,tóngguīyújìn,perish together
TRUE,,同流合污,tóngliúhéwū,Complicit
TRUE,,投机取巧,tóujīqǔqiǎo,Opportunistic
TRUE,,徒劳无功,túláowúgōng,To no avail
TRUE,,推陈出新,tuīchénchūxīn,Innovation
TRUE,,望尘莫及,wàngchénmòjí,Catch up
TRUE,,忘恩负义,wàng'ēnfùyì,ungrateful
TRUE,,为非作歹,wéi fēi zuò dǎi,All kinds of evil
TRUE,,温故知新,wēngùzhīxīn,Refresher
TRUE,,无病呻吟,wúbìngshēnyín,Fuss
TRUE,,五体投地,wǔtǐtóudì,Five-body cast
TRUE,,息事宁人,xīshìníngrén,Leave it alone
TRUE,,相安无事,xiāng'ān wú shì,Live in peace
TRUE,,心灰意懒,xīnhuīyìlǎn,Despondency
TRUE,,信口开河,xìnkǒukāihé,Lip
TRUE,,信口雌黄,xìnkǒucíhuáng,Empty promises
TRUE,,削足适履,xuèzúshìlǚ,Literally
TRUE,,寻根究底,xúngēnjiūdǐ,Get to the bottom
TRUE,,鸦雀无声,yāquèwúshēng,Silence reigns
TRUE,,言行一致,yánxíng yīzhì,What they preach
TRUE,,养尊处优,yǎngzūnchǔyōu,Pampered
TRUE,,摇摇欲坠,yáoyáoyùzhuì,Crumbling
TRUE,,一败涂地,yībàitúde,Crushing defeat
TRUE,,一见如故,yījiànrúgù,Hit it off
TRUE,,一箭双雕,yījiànshuāngdiāo,Kill two birds with one stone
TRUE,,一蹶不振,yījuébùzhèn,Brought to its knees
TRUE,,一劳永逸,yīláoyǒngyì,Once and for all
TRUE,,一落千丈,yīluòqiānzhàng,Plummeted
TRUE,,一毛不拔,yīmáobùbá,Miserly
TRUE,,一暴十寒,yī pù shí hán,Yibaoshihan
TRUE,,一网打尽,yīwǎngdǎjìn,Clean Sweep
TRUE,,一知半解,yīzhībànjiě,Smattering
TRUE,,以卵击石,yǐluǎnjīshí,Yiluanjidan
TRUE,,以牙还牙,yǐyáháiyá,Tit for tat
TRUE,,易如反掌,yìrúfǎnzhǎng,Easy
TRUE,,异想天开,yìxiǎngtiānkāi,Whimsical
TRUE,,饮水思源,yǐnshuǐsīyuán,have gratitude
TRUE,,应接不暇,yìngjiēbùxiá,Overwhelmed
TRUE,,优柔寡断,yōuróuguǎduàn,indecisive
TRUE,,游手好闲,yóushǒuhàoxián,Idle
TRUE,,有勇无谋,yǒu yǒng wú móu,Foolhardy
TRUE,,与日俱增,yǔrìjùzēng,Increasing
TRUE,,真知灼见,zhēnzhīzhuójiàn,Insights
TRUE,,趾高气扬,zhǐgāoqìyáng,Arrogance
TRUE,,忠言逆耳,zhōngyánnì'ěr,Zhongyannier
TRUE,,装聋作哑,zhuāng lóng zuò yǎ,Dumb
TRUE,,自暴自弃,zìbàozìqì,Low self-esteem
TRUE,,自投罗网,zì tóu luówǎng,Right time
TRUE,,坐井观天,zuòjǐngguāntiān,Narrow view
TRUE,,坐享其成,zuòxiǎngqíchéng,Sit back and enjoy
FALSE,1,好马不吃回头草,hǎo mǎ bù chī huítóu cǎo,Good Never look back
FALSE,2,小菜一碟,xiǎocài yī dié,Piece of cake
FALSE,3,太阳从西边出来,tàiyáng cóng xībian chūlái,Sun from the west
FALSE,4,说曹操，曹操到,"shuō cáocāo, cáocāo dào",Said the devil to
FALSE,5,乌鸦嘴,wūyā zuǐ,Big mouth
FALSE,6,二百五,èrbǎiwǔ,Two hundred fifty
FALSE,7,吃一堑，长一智,"chī yī qiàn, zhǎng yī zhì",learn from mistakes
FALSE,8,睁着眼睛说瞎话,zhēng zhuó yǎnjīng shuō xiāhuà,The lie
FALSE,9,近朱者赤，近墨者黑,"jìn zhū zhě chì, jìn mò zhě hēi","She knows nothing, doubts nothing"
FALSE,10,物以稀为贵,wù yǐ xī wéi guì,Suddenly
FALSE,11,王婆卖瓜，自卖自夸,"wáng pó mài guā, zìmàizìkuā",self boasting
FALSE,12,站着说话不腰疼,zhànzhe shuōhuà bù yāoténg,Easier said than done
FALSE,13,天下没有不散的筵席,tiānxià méiyǒu bú sàn de yánxí,There is no never-ending feast
FALSE,14,天上掉馅饼,tiānshàngdiào xiàn bǐng,Beautiful day
FALSE,15,己所不欲，勿施于人,"jǐ suǒ bù yù, wù shī yú rén","Do unto others, do not impose on others"
FALSE,16,睁眼瞎,zhēng yǎn xiā,Illiterate
FALSE,17,跳进黄河洗不清,tiào jìn huánghé xǐ bù qīng,Jumped into the Yellow River Xibu Qing
FALSE,18,拍马屁,pāimǎpì,Bootlick
FALSE,19,情人眼里出西施,qíngrén yǎn lǐ chū xīshī,Beauty is in the eyes of beholder
FALSE,20,打酱油,dǎ jiàngyóu,Soy sauce
FALSE,21,不怕一万，就怕万一,"bùpà yī wàn, jiù pà wàn yī","Afraid of ten thousand, afraid of the event"
FALSE,22,走着瞧,zǒuzhe qiáo,Wait and see
FALSE,23,不管三七二十一,bùguǎn sānqī'èrshíyī,Just -
FALSE,24,吃着碗里的，看着锅里的,"chīzhe wǎn lǐ de, kànzhe guō lǐ de","Eating a bowl, watching the pot"
FALSE,25,钻牛角尖,zuānniújiǎojiān,Dead end
FALSE,26,人不可貌相，海水不可斗量,"rén bùkě màoxiàng, hǎishuǐ bùkě dǒu liàng",do not judge a book by it's cover
FALSE,27,林子大了，什么鸟都有,"línzi dàle, shénme niǎo dōu yǒu","Big woods, what birds are"
FALSE,28,鸡毛蒜皮,jīmáosuànpí,Trivia
FALSE,29,鲜花插在牛粪上,xiānhuā chā zài niú fèn shàng,Flowers inserted in cow dung
FALSE,30,醉翁之意不在酒,zuì wēng zhī yì bùzài jiǔ,Ulterior motives
FALSE,31,猴年马月,hóuniánmǎyuè,These years
FALSE,32,眼不见为净,yǎn bùjiàn wéi jìng,Sight of the net
FALSE,33,姜是老的辣,jiāng shì lǎo de là,Ginger is the old lady
FALSE,34,留得青山在，不怕没柴烧,"liú dé qīngshān zài, bùpà méi chái shāo","Where there is life, there is hope"
FALSE,35,拿得起，放得下,"ná dé qǐ, fàng dé xià","Get affordable, fit"
FALSE,36,以其人之道还治其人之身,yǐ qí rén zhī dào huán zhì qí rén zhī shēn,Eye for an eye person in his body
FALSE,37,走桃花运,zǒu táohuāyùn,Go peach blossom
FALSE,38,成事不足，败事有余,"chéngshì bùzú, bài shì yǒuyú",Incompetent bungler
FALSE,39,皇上不急太监急,huángshàng bù jí tàijiàn jí,The emperor is not urgent eunuch urgent
FALSE,40,三个臭皮匠，顶个诸葛亮,"sān gè chòu píjiàng, dǐng gè zhūgéliàng","Three Stooges, the top one Zhuge Liang"
FALSE,41,脚踩两只船,jiǎo cǎi liǎng zhī chuán,It both ways
FALSE,42,此地无银三百两,cǐdì wú yín sānbǎi liǎng,Admitting their guilt
FALSE,43,吃不到葡萄就说葡萄酸,chī bù dào pútáo jiù shuō pútáo suān,Not eat sour grapes
FALSE,44,心急吃不了热豆腐,xīnjí chī bùliǎo rè dòufu,More haste less speed
FALSE,46,癞蛤蟆想吃天鹅肉,làihámá xiǎng chī tiān'é ròu,Toad wants to eat
FALSE,47,天无绝人之路,tiān wú jué rén zhī lù,There is always a way out
FALSE,48,走后门,zǒuhòumén,Through the back door
FALSE,49,瞎猫碰上死耗子,xiā māo pèng shàng sǐ hàozi,Blind cat run into dead rat
FALSE,50,好汉不吃眼前亏,hǎohàn bù chī yǎnqiánkuī,Heroes do not eat immediate loss
FALSE,51,解铃还须系铃人,jiě líng hái xū xì líng rén,The trouble should end it
FALSE,52,肥水不流外人田,féishuǐ bù liú wàirén tián,Charity begins at Tian
FALSE,53,心有余而力不足,xīn yǒuyú ér lì bùzú,Beyond their grasp
FALSE,54,不分青红皂白,bù fēn qīnghóngzàobái,without understanding
FALSE,55,睁一只眼，闭一只眼,"zhēng yī zhī yǎn, bì yī zhī yǎn","An eye, close one eye"
FALSE,56,破罐子破摔,pò guànzi pò shuāi,破罐子破摔
FALSE,57,种瓜得瓜，种豆得豆,"zhǒng guā dé guā, zhǒng dòu dé dòu",you get what you sow
FALSE,58,萝卜白菜，各有所爱,"luóbo báicài, gè yǒu suǒ ài",one's man meat is another man's poison
FALSE,59,狗嘴里吐不出象牙,gǒu zuǐ lǐ tǔ bu chū xiàngyá,Dogs bark
FALSE,60,三天打鱼，两天晒网,"sān tiān dǎ yú, liǎng tiān shài wǎng","Three days fishing, two days of drying"
FALSE,61,一朝被蛇咬，十年怕井绳,"yī zhāo bèi shé yǎo, shí nián pà jǐng shéng","Once bitten, twice shy"
FALSE,62,英雄难过美人关,yīngxióng nánguò měirén guān,Hero becomes a prisoner
FALSE,63,刀子嘴，豆腐心,"dāozizuǐ, dòufu xīn","Sharp tongue, a soft heart"
FALSE,64,一失足成千古恨,yī shīzú chéng qiāngǔ hèn,Without fire
FALSE,65,哪壶不开提哪壶,nǎ hú bù kāi tí nǎ hú,Tender the tender spot
FALSE,66,炒鱿鱼,chǎoyóuyú,Fired
FALSE,67,人往高处走，水往低处流,"rén wǎng gāo chù zǒu, shuǐ wǎng dī chù liú","Water flows to lower place, man goes to higher position"
FALSE,68,说得比唱得好听,shuō dé bǐ chàng dé hǎotīng,He said than sing nicely
FALSE,69,强扭的瓜不甜,qiáng niǔ de guā bù tián,A horse is not sweet
FALSE,70,老掉牙,lǎodiàoyá,Old-fashioned
FALSE,71,搬起石头砸自己的脚,bān qǐ shítou zá zìjǐ de jiǎo,Shooting itself in the foot
FALSE,72,卖关子,màiguānzi,Guessing
FALSE,73,一分钱一分货,yī fēn qián yī fēn huò,you get what you pay for
FALSE,74,九牛二虎之力,jiǔ niú èr hǔ zhī lì,To great lengths
FALSE,75,敬酒不吃吃罚酒,jìngjiǔ bù chī chī fá jiǔ,Toast Monastic
FALSE,76,躲得过初一，躲不过十五,"duǒ déguò chū yī, duǒ bùguò shíwǔ","Avoid them the first day, become obvious to fifteen"
FALSE,77,吃香的，喝辣的,"chīxiāng de, hē là de","Popular to drink hot,"
FALSE,78,小儿科,xiǎo'érkē,Pediatrics
FALSE,79,一个巴掌拍不响,yīgè bāzhang pāi bù xiǎng,A tango
FALSE,80,牛头不对马嘴,niútóu bùduì mǎ zuǐ,Incongruous
FALSE,81,以小人之心，度君子之腹,"yǐ xiǎo rén zhī xīn, dù jūnzǐ zhī fù",Belly sinister heart of a gentleman
FALSE,82,车到山前必有路,chē dào shān qián bì yǒu lù,Car to Piedmont Road
FALSE,83,鸡蛋里挑骨头,jīdàn li tiāo gú tóu,Nitpick
FALSE,84,吃不了兜着走,chī bùliǎo dōuzhe zǒu,Steal sheep
FALSE,85,打肿脸充胖子,dǎ zhǒng liǎn chōng pàngzi,Hat and no cattle
FALSE,86,三十六计走为上,sānshíliù jì zǒu wéi shàng,Thirty-Six to go on
FALSE,87,当耳旁风,dàng ěrpángfēng,When heeded
FALSE,88,恨铁不成钢,hèn tiě bùchéng gāng,Turn iron into steel
FALSE,89,你走你的阳关道，我过我的独木桥,"nǐ zǒu nǐ de yángguāndào, wǒguò wǒ de dú mù qiáo",You go your way and I to my single-plank bridge
FALSE,90,过了这个村，就没这个店,"guò le zhège cūn, jiù méi zhège diàn","After this village, no this shop"
FALSE,91,抱佛脚,bàofójiǎo,Cramming
FALSE,92,有钱能使鬼推磨,yǒu qián néng shǐ guǐ tuī mó,Money talks
FALSE,93,有其父必有其子,yǒu qí fù bì yǒu qí zi,Like father like son
FALSE,94,不见棺材不落泪,bùjiàn guāncai bù luò lèi,Does it cry
FALSE,95,三长两短,sānchángliǎngduǎn,If something happens
FALSE,96,纸包不住火,zhǐ bāo bù zhù huǒ,Murder
FALSE,97,好戏在后头,hǎo xì zài hòutou,Good in the first
FALSE,98,吹牛皮,chuī niúpí,Boast
FALSE,99,欲速则不达,yù sù zé bù dá,Haste makes waste
FALSE,100,家家有本难念的经,jiā jiā yǒu běn nán niàn de jīng,Every family has its cupboard
FALSE,101,墙头草,qiángtóu cǎo,Fence
FALSE,102,替罪羊,tìzuìyáng,scapegoat
FALSE,103,近水楼台先得月,jìnshuǐlóutái xiān dé yuè,Tun
FALSE,104,小巫见大巫,xiǎowū jiàn dàwū,Pale into insignificance
FALSE,105,过河拆桥,guòhéchāiqiáo,Burning bridges
FALSE,106,一不做，二不休,"yībù zuò, èr bùxiū","In for a penny, in for a pound"
FALSE,107,以牙还牙，以眼还眼,"yǐyáháiyá, yǐ yǎn hái yǎn","Tooth for a tooth, an eye for an eye"
FALSE,108,跑了和尚跑不了庙,pǎole héshàng pǎo bùliǎo miào,He ran the temple monks stand
FALSE,109,绿帽子,lǜmàozi,Green Hat
FALSE,110,识时务者为俊杰,shí shíwù zhě wéi jùnjié,Servers are clever
FALSE,111,井水不犯河水,jǐng shuǐ bùfàn héshuǐ,JingShuiBuFanHeShui
FALSE,112,一棵树上吊死,yī kē shù shàng diào sǐ,Hang in a tree
FALSE,113,放鸽子,fàng gēzi,Bouncing
FALSE,114,一步一个脚印,yī bù yīgè jiǎoyìn,Step by step
FALSE,115,上梁不正下梁歪,shàng liáng bùzhèng xià liáng wāi,上梁不正下梁歪
FALSE,116,不入虎穴，焉得虎子,"bù rù hǔxué, yān dé hǔ zi","Nothing ventured, nothing gained"
FALSE,117,赔了夫人又折兵,péile fūrén yòu zhé bīng,Throw good money after bad
FALSE,118,有心栽花花不长，无心插柳柳成荫,"yǒuxīn zāi huāhuā bu zhǎng, wúxīn chā liǔ liǔchéngyīn","Determined to grow flowers do not grow, unintentional positive outcomes"
FALSE,119,八字还没一撇,bāzì hái méi yī piē,Character not even got off
FALSE,120,有眼不识泰山,yǒu yǎn bù shí tàishān,There did not know
FALSE,121,出气筒,chūqìtǒng,Punching bag
FALSE,122,八九不离十,bājiǔ bùlí shí,pretty close
FALSE,123,无风不起浪,wúfēngbùqǐlàng,"No wind, no wave"
FALSE,124,得便宜卖乖,dé piányí màiguāi,Too cheap cold
FALSE,125,不是省油的灯,bùshì shěngyóu de dēng,Not out of trouble
FALSE,126,家丑不可外扬,jiāchǒu bùkě wàiyáng,Not wash your dirty linen in public
FALSE,127,背黑锅,bēihēiguō,Be a scapegoat
FALSE,128,兔子不吃窝边草,tùzǐ bù chī wō biān cǎo,Rabbit does not eat the grass edge
FALSE,129,铁饭碗,tiě fànwǎn,iron rice bowl
FALSE,130,冰冻三尺，非一日之寒,"bīngdòng sān chǐ, fēi yī rì zhī hán",Rome was not built in a day
FALSE,131,远亲不如近邻,yuǎnqīn bùrú jìnlín,Neighbor is better than distant relatives
FALSE,132,下马威,xiàmǎwēi,Blow
FALSE,133,天下乌鸦一般黑,tiānxià wūyā yībān hēi,天下乌鸦一般黑
FALSE,134,不到黄河心不死,bù dào huánghéxīn bùsǐ,Refuse to give up until all hope is gone
FALSE,135,狗急了跳墙,gǒu jíle tiào qiáng,Gouji jump off the wall
FALSE,136,狗眼看人低,gǒu yǎnkàn rén dī,Snob
FALSE,137,只许州官放火，不许百姓点灯,"zhǐ xǔ zhōu guān fànghuǒ, bùxǔ bǎixìng diǎndēng",oppressive rule
FALSE,138,偷鸡摸狗,tōujīmōgǒu,Sly
FALSE,139,死马当活马医,sǐ mǎ dāng huó mǎ yī,Dead horse a living horse medicine
FALSE,140,新官上任三把火,xīn guān shàngrèn sān bǎ huǒ,New broom sweeps clean
FALSE,141,对号入座,duìhàorùzuò,Condemnation
FALSE,142,十万八千里,shí wàn bāqiān lǐ,Galaxy
FALSE,143,露马脚,lòumǎjiǎo,Cloven hoof
FALSE,144,公说公有理，婆说婆有理,"gōng shuō gōng yǒulǐ, pó shuō pó yǒulǐ","Public that goes, rational woman and she said"
FALSE,145,上刀山，下火海,"shàng dāo shān, xià huǒhǎi",On ordered by the flames
FALSE,146,打退堂鼓,dǎtuìtánggǔ,Back down
FALSE,147,磨刀不误砍柴工,mó dāo bù wù kǎn chái gōng,Preparation may quicken the work
FALSE,148,风马牛不相及,fēng mǎ niú bù xiāng jí,Irrelevant
FALSE,149,一山不容二虎,yīshānbùróng'èrhǔ,Mountain can not be two tigers
FALSE,150,眼里揉不得沙子,yǎn lǐ róu bùdé shāzi,Not rub the eyes of sand
FALSE,151,三下五除二,sān xià wǔ chú èr,Neat and quick
FALSE,152,泼冷水,pōlěngshuǐ,pour cold water on
FALSE,153,杀鸡给猴看,shā jī gěi hóu kàn,A warning to others
FALSE,154,生米做成熟饭,shēng mǐ zuò chéngshú fàn,Do mature rice uncooked rice
FALSE,155,初生牛犊不怕虎,chūshēng niúdú bùpà hǔ,Fearless
FALSE,156,铁公鸡,tiěgōngjī,stingy person
FALSE,157,无事不登三宝殿,wú shì bù dēng sān bǎodiàn,bother you for something
FALSE,158,马后炮,mǎhòupào,Belated effort
FALSE,159,掉链子,diào liànzi,The ball dropped
FALSE,160,纸老虎,zhǐlǎohǔ,Paper tiger
FALSE,161,狐狸精,húlíjīng,Vixen
FALSE,162,丑话说在前头,chǒu huàshuō zài qiántou,Ugly words at the head
FALSE,163,半路杀出个程咬金,bànlù shā chū gè chéng yǎo jīn,Grab a Cheng Yaojin
FALSE,164,麻雀虽小，五脏俱全,"máquè suī xiǎo, wǔzàng jùquán",Small but complete
FALSE,165,虎毒不食子,hǔ dú bù shí zǐ,虎毒不食子
FALSE,166,小不忍则乱大谋,xiǎo bùrěn zé luàn dà móu,A small leak will sink a great ship
FALSE,167,打狗还得看主人,dǎ gǒu hái dé kàn zhǔrén,Dog owners will have to see
FALSE,168,万事俱备，只欠东风,"wànshì jù bèi, zhǐ qiàn dōngfēng",All is ready except for the opportunity
FALSE,169,不管黑猫白猫，会捉老鼠就是好猫,"bùguǎn hēi māo bái māo, huì zhuō lǎoshǔ jiùshì hǎo māo","Whether black or white, it catches mice is a good cat"
FALSE,170,真金不怕火炼,zhēn jīn bùpà huǒ liàn,True gold fears no fire
